ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q5,time_1,time_2,time_3,time_4,f1,comp1,f2,comp2,f3,comp3,f4,comp4,f5,inco5,f6,inco6,f7,inco7,f8,inco8,f1,comp9,f2,comp10,f3,comp11,f4,comp12,f5,inco13,f6,inco14,f7,inco15,f8,inco16,f1,inco1,f2,inco2,f3,inco3,f4,inco4,f5,comp5,f6,comp6,f7,comp7,f8,comp8,f1,inco9,f2,inco10,f3,inco11,f4,inco12,f5,comp13,f6,comp14,f7,comp15,f8,comp16,sex,age,DO-BR-FL_45,DO-BL-Sentences1,DO-BL-Sentences2,LocationLatitude,LocationLongitude,LocationAccuracy
R_50VTVnyQH7SDm05,Default Response Set,Anonymous,,,73.230.44.177,0,29/02/16 15:29,29/02/16 15:32,1,19485,A3RIBFIB7C8D20,1,0,0,5.497,0,1,7,1,6,1,6,1,5,1,5,1,1,1,4,1,3,1,7,1,6,1,6,1,5,1,3,1,1,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,Sentences1,f1|comp12|f2|comp11|f3|inco8|f4|inco7|f5|inco6|f6|inco16|f7|inco15|f8|inco5|f1|inco13|f2|comp1|f3|comp2|f4|inco14|f5|comp3|f6|comp4|f7|comp9|f8|comp10,,40.18080139,-77.21389771,-1
R_blsVfTf97CfzcbP,Default Response Set,Anonymous,,,71.169.128.15,0,29/02/16 15:28,29/02/16 15:32,1,95849,A1NITMHYG5YL3H,1,0,0,34.209,0,1,7,1,4,1,7,1,7,1,1,1,1,1,3,1,1,1,6,1,7,1,7,1,7,1,4,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,Sentences1,f1|inco14|f2|inco8|f3|inco5|f4|inco13|f5|inco16|f6|comp9|f7|comp4|f8|inco15|f1|comp12|f2|comp2|f3|comp3|f4|comp1|f5|comp10|f6|inco7|f7|inco6|f8|comp11,,44.27879333,-72.61710358,-1
R_b1kmi2oDqdrF5TT,Default Response Set,Anonymous,,,72.228.48.216,0,29/02/16 15:27,29/02/16 15:32,1,47256,A2CQP9DZSDUC5V,1,0,0,99.938,0,1,6,1,6,1,7,1,6,1,2,1,2,1,4,1,4,1,6,1,6,1,6,1,6,1,4,1,3,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,Sentences1,f1|comp1|f2|inco14|f3|comp2|f4|inco5|f5|inco8|f6|inco16|f7|comp9|f8|comp4|f1|inco6|f2|inco13|f3|comp11|f4|inco15|f5|comp12|f6|inco7|f7|comp10|f8|comp3,,43.35229492,-73.68979645,-1
R_bD6F0Qgn4wlvUUt,Default Response Set,Anonymous,,,173.79.69.21,0,29/02/16 15:30,29/02/16 15:33,1,88874,AK3H5QRAROFGP,1,0,0,18.793,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,7,1,7,1,7,1,7,1,2,1,2,1,2,1,2,1,7,1,7,1,7,1,7,1,28,Sentences2,,f1|comp5|f2|inco12|f3|comp16|f4|comp7|f5|comp15|f6|inco1|f7|inco3|f8|inco9|f1|comp8|f2|inco4|f3|inco10|f4|inco2|f5|comp13|f6|inco11|f7|comp14|f8|comp6,39.0045929,-77.03690338,-1
R_54Sh4aNp7h8NBfn,Default Response Set,Anonymous,,,108.33.1.24,0,29/02/16 15:28,29/02/16 15:33,1,58119,A2WQTNO91C05GC,1,35.602,35.602,36.626,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,2,1,3,1,7,1,6,1,6,1,6,1,4,1,5,1,4,1,4,1,6,1,6,1,5,1,6,1,26,Sentences2,,f1|comp7|f2|inco3|f3|inco12|f4|inco9|f5|comp8|f6|inco11|f7|comp6|f8|inco2|f1|comp5|f2|comp14|f3|inco1|f4|comp15|f5|comp13|f6|comp16|f7|inco10|f8|inco4,27.43730164,-82.57749939,-1
R_aUUjkRvVC196ub3,Default Response Set,Anonymous,,,71.83.42.86,0,29/02/16 15:31,29/02/16 15:34,1,15683,A29KUIEVPK8WB4,1,0,0,14.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,3,1,2,1,6,1,7,1,6,1,6,1,3,1,2,1,2,1,2,1,7,1,6,1,7,1,6,1,32,Sentences2,,f1|comp5|f2|inco9|f3|inco3|f4|comp8|f5|comp16|f6|inco11|f7|comp13|f8|comp15|f1|inco1|f2|inco12|f3|comp6|f4|comp7|f5|inco10|f6|inco4|f7|comp14|f8|inco2,44.83399963,-91.57289886,-1
R_cw0Reoy84It0yLH,Default Response Set,Anonymous,,,68.32.63.147,0,29/02/16 15:28,29/02/16 15:34,1,83917,A1DJD0J0BTE1X8,1,0,0,82.043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,1,3,1,4,1,6,1,3,1,5,1,5,1,3,1,2,1,4,1,3,1,6,1,6,1,5,1,6,1,25,Sentences2,,f1|comp6|f2|comp8|f3|inco2|f4|inco11|f5|inco9|f6|comp15|f7|comp5|f8|comp13|f1|inco1|f2|inco10|f3|comp14|f4|comp16|f5|inco12|f6|inco4|f7|inco3|f8|comp7,42.5644989,-83.06469727,-1
R_bE06QdBZmINr9Y1,Default Response Set,Anonymous,,,104.14.110.135,0,29/02/16 15:30,29/02/16 15:34,1,97820,A376F1W1MTY3J,1,0,0,49.141,0,1,6,1,5,1,6,1,6,1,4,1,3,1,4,1,2,1,5,1,5,1,5,1,6,1,4,1,2,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,Sentences1,f1|inco15|f2|comp10|f3|inco16|f4|inco8|f5|comp9|f6|inco5|f7|comp4|f8|inco7|f1|comp2|f2|inco14|f3|comp1|f4|inco13|f5|comp11|f6|comp12|f7|inco6|f8|comp3,,42.95359802,-85.6576004,-1
R_eleLCfB2EY4ZMZ7,Default Response Set,Anonymous,,,187.190.149.48,0,29/02/16 15:34,29/02/16 15:34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4342041,-99.13860321,-1
R_55DizwXE4a2Agux,Default Response Set,Anonymous,,,209.95.50.52,0,29/02/16 15:31,29/02/16 15:34,1,68924,A1YILFU07P6DND,1,0,0,35.201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,1,2,1,3,1,5,1,3,1,4,1,3,1,6,1,2,1,6,1,2,1,5,1,3,1,6,1,2,1,23,Sentences2,,f1|inco10|f2|inco11|f3|comp5|f4|comp7|f5|comp14|f6|comp16|f7|comp6|f8|inco1|f1|comp15|f2|inco3|f3|inco2|f4|comp13|f5|inco9|f6|inco12|f7|comp8|f8|inco4,40.74209595,-74.00180054,-1
